radius,depth,density,Vpv,Vph,Vsv,Vsh,eta,Q-mu,Q-kappa
6368.0,-1.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6368.0,0.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6368.0,3.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6367.0,4.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6366.0,5.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6365.0,6.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6364.0,7.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6363.0,8.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6362.0,9.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6361.0,10.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6360.0,11.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6359.0,12.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6358.0,13.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6357.0,14.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6356.0,15.0,2.60000,5.80000,5.80000,3.20000,3.20000,1.00000,600,57823
6356.0,15.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6355.0,16.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6354.0,17.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6353.0,18.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6352.0,19.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6351.0,20.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6350.0,21.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6349.0,22.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6348.0,23.0,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6346.6,24.4,2.90000,6.80000,6.80000,3.90000,3.90000,1.00000,600,57823
6346.6,24.4,3.38075,8.02206,8.19032,4.39602,4.61180,0.90039,600,57823
6346.0,25.0,3.38068,8.02138,8.18988,4.39616,4.61126,0.90062,600,57823
6345.0,26.0,3.38057,8.02024,8.18916,4.39639,4.61037,0.90101,600,57823
6344.0,27.0,3.38047,8.01911,8.18843,4.39662,4.60947,0.90140,600,57823
6343.0,28.0,3.38036,8.01798,8.18771,4.39685,4.60857,0.90179,600,57823
6342.0,29.0,3.38025,8.01684,8.18698,4.39708,4.60767,0.90218,600,57823
6341.0,30.0,3.38014,8.01571,8.18626,4.39731,4.60678,0.90257,600,57823
6340.0,31.0,3.38003,8.01458,8.18553,4.39754,4.60588,0.90296,600,57823
6339.0,32.0,3.37992,8.01345,8.18481,4.39777,4.60498,0.90335,600,57823
6338.0,33.0,3.37981,8.01231,8.18408,4.39800,4.60408,0.90373,600,57823
6337.0,34.0,3.37970,8.01118,8.18336,4.39823,4.60319,0.90412,600,57823
6336.0,35.0,3.37960,8.01005,8.18263,4.39846,4.60229,0.90451,600,57823
6331.0,40.0,3.37905,8.00438,8.17901,4.39962,4.59780,0.90646,600,57823
6326.0,45.0,3.37851,7.99872,8.17539,4.40077,4.59332,0.90840,600,57823
6321.0,50.0,3.37797,7.99305,8.17176,4.40192,4.58883,0.91035,600,57823
6311.0,60.0,3.37688,7.98172,8.16452,4.40422,4.57985,0.91424,600,57823
6301.0,70.0,3.37579,7.97039,8.15727,4.40653,4.57088,0.91812,600,57823
