event_id,station_id,phase_index,phase_time,phase_score,phase_type,phase_polarity
3_52566,EUAP,400,2010-06-29T08:17:38.999997Z,,P,N
3_52566,EUAP,843,2010-06-29T08:17:50.075928Z,,PS,N
3_52566,FOA,400,2010-06-29T08:17:32.000004Z,,P,N
3_52566,FOA,787,2010-06-29T08:17:41.674324Z,,PS,N
3_52566,FONI,400,2010-06-29T08:17:33.000003Z,,P,N
3_52566,FONI,2928,2010-06-29T08:18:36.210007Z,,S,N
3_52566,FONI,950,2010-06-29T08:17:46.745110Z,,PS,N
3_52566,PNGI,400,2010-06-29T08:17:32.000001Z,,P,N
3_52566,PNGI,3001,2010-06-29T08:18:37.020005Z,,S,N
3_52566,PNGI,820,2010-06-29T08:17:42.500649Z,,PS,N
3_52566,TNGA,400,2010-06-29T08:17:34.000001Z,,P,N
3_52566,TNGA,2983,2010-06-29T08:18:38.576584Z,,S,N
3_52566,TNGA,957,2010-06-29T08:17:47.913613Z,,PS,N
11_52205,B12,400,2009-12-26T05:16:24.999999Z,,P,N
11_52205,B12,832,2009-12-26T05:16:35.812254Z,,PS,N
11_52205,C01W,400,2009-12-26T05:16:19.000000Z,,P,N
11_52205,C01W,872,2009-12-26T05:16:30.808300Z,,PS,N
11_52205,C15,400,2009-12-26T05:16:23.000000Z,,P,N
11_52205,C15,759,2009-12-26T05:16:31.986168Z,,PS,N
11_52205,EUAP,400,2009-12-26T05:16:23.000001Z,,P,N
11_52205,EUAP,1224,2009-12-26T05:16:43.610001Z,,S,N
11_52205,EUAP,727,2009-12-26T05:16:31.182198Z,,PS,N
11_52205,F01,400,2009-12-26T05:16:27.000000Z,,P,N
11_52205,F01,1158,2009-12-26T05:16:45.946638Z,,S,N
11_52205,F01,567,2009-12-26T05:16:31.171938Z,,PS,N
11_52205,FOA,400,2009-12-26T05:16:19.999999Z,,P,N
11_52205,FOA,1516,2009-12-26T05:16:47.911068Z,,S,N
11_52205,FOA,906,2009-12-26T05:16:32.638340Z,,PS,N
11_52205,FONI,400,2009-12-26T05:16:21.000000Z,,P,N
11_52205,FONI,1171,2009-12-26T05:16:40.278654Z,,S,N
11_52205,FONI,786,2009-12-26T05:16:30.650198Z,,PS,N
11_52205,NMKA,400,2009-12-26T05:16:20.000001Z,,P,N
11_52205,NMKA,1224,2009-12-26T05:16:40.606720Z,,S,N
11_52205,NMKA,886,2009-12-26T05:16:32.140316Z,,PS,N
11_52205,PNGI,400,2009-12-26T05:16:24.000000Z,,P,N
11_52205,PNGI,1279,2009-12-26T05:16:45.980002Z,,S,N
11_52205,PNGI,665,2009-12-26T05:16:30.635759Z,,PS,N
11_52205,TNGA,400,2009-12-26T05:16:20.000000Z,,P,N
11_52205,TNGA,1212,2009-12-26T05:16:40.300000Z,,S,N
11_52205,TNGA,736,2009-12-26T05:16:28.400151Z,,PS,N
11_52205,VAVP,400,2009-12-26T05:16:33.999999Z,,P,N
11_52205,VAVP,1589,2009-12-26T05:17:03.737156Z,,S,N
3_52118,B05W,400,2010-05-14T10:34:26.000001Z,,P,N
3_52118,B05W,802,2010-05-14T10:34:36.040020Z,,PS,N
3_52118,FONI,400,2010-05-14T10:34:30.000003Z,,P,N
3_52118,FONI,2578,2010-05-14T10:35:24.439995Z,,S,N
3_52118,FONI,702,2010-05-14T10:34:37.541519Z,,PS,N
3_52118,PNGI,400,2010-05-14T10:34:31.999998Z,,P,N
3_52118,PNGI,2567,2010-05-14T10:35:26.186264Z,,S,N
3_52118,PNGI,698,2010-05-14T10:34:39.443183Z,,PS,N
3_52118,TNGA,400,2010-05-14T10:34:28.000002Z,,P,N
3_52118,TNGA,2498,2010-05-14T10:35:20.455040Z,,S,N
3_52118,TNGA,807,2010-05-14T10:34:38.184288Z,,PS,N
3_52118,FOA,400,2010-05-14T10:34:31.999998Z,,P,N
3_52118,FOA,2567,2010-05-14T10:35:26.186264Z,,S,N
3_52118,NMKA,400,2010-05-14T10:34:28.999997Z,,P,N
3_52118,NMKA,2631,2010-05-14T10:35:24.773217Z,,S,N
3_52118,NMKA,796,2010-05-14T10:34:38.895752Z,,PS,N
