	event_id	id	timestamp	amp	type	prob	event_index	gamma_score
0	1_52318	YL.A05..BH	2009-12-18 16:17:46.000002	1e-06	p	1.0	3	0.11470159266572104
1	1_52318	YL.A06W..HH	2009-12-18 16:17:47.000003	1e-06	p	1.0	3	0.13390588840274176
2	1_52318	YL.B02..BH	2009-12-18 16:17:59.999999	1e-06	p	1.0	3	0.13157940402531165
3	1_52318	YL.B03..BH	2009-12-18 16:17:59.999999	1e-06	p	1.0	3	0.11630693041142708
4	1_52318	YL.F01..BH	2009-12-18 16:18:02.000000	1e-06	p	1.0	3	0.11797326384268121
5	1_52318	YL.F01..BH	2009-12-18 16:19:17.160004	1e-06	s	1.0	3	0.13499402983222525
6	1_52318	Z1.FOA..BH	2009-12-18 16:18:06.000000	1e-06	p	1.0	3	0.13509643942883226
7	1_52318	Z1.NMKA..BH	2009-12-18 16:18:02.000001	1e-06	p	1.0	3	0.11630664188038543
8	1_52318	Z1.NMKA..BH	2009-12-18 16:19:11.400010	1e-06	s	1.0	3	0.13530432862352382
9	1_52318	Z1.PNGI..BH	2009-12-18 16:18:06.999998	1e-06	p	1.0	3	0.11630609968889055
10	1_52318	Z1.PNGI..BH	2009-12-18 16:19:21.419999	1e-06	s	1.0	3	0.12788921261868968
11	1_52318	Z1.VAVP..BH	2009-12-18 16:18:14.000000	1e-06	p	1.0	3	0.11797467755963183
12	1_52318	Z1.VAVP..BH	2009-12-18 16:19:38.330010	1e-06	s	1.0	3	0.13546187044666474
13	1_52318	YL.A11..BH	2009-12-18 16:17:44.999996	1e-06	p	1.0	3	0.13390574522771131
14	1_52318	YL.C01W..HH	2009-12-18 16:17:55.999998	1e-06	p	1.0	3	0.13390622895506132
15	1_52318	Z1.FONI..BH	2009-12-18 16:18:01.999997	1e-06	p	1.0	3	0.13327297267203925
16	1_52318	Z1.FONI..BH	2009-12-18 16:19:11.919998	1e-06	s	1.0	3	0.13320234460503183
17	1_52316	YL.A01..BH	2009-12-18 16:31:21.999999	1e-06	p	1.0	4	0.15247655659320086
18	1_52316	YL.A01..BH	2009-12-18 16:32:30.690003	1e-06	s	1.0	4	0.040132663510019664
19	1_52316	YL.A02W..HH	2009-12-18 16:31:20.999998	1e-06	p	1.0	4	0.14786425843262793
20	1_52316	YL.A03..BH	2009-12-18 16:31:20.000001	1e-06	p	1.0	4	0.1478642248472463
21	1_52316	YL.A07..BH	2009-12-18 16:31:19.000003	1e-06	p	1.0	4	0.1520204686462392
22	1_52316	YL.A11..BH	2009-12-18 16:31:17.999997	1e-06	p	1.0	4	0.15069606735612245
23	1_52316	YL.A13..BH	2009-12-18 16:31:16.000002	1e-06	p	1.0	4	0.14786393623498179
24	1_52316	YL.B02..BH	2009-12-18 16:31:27.000001	1e-06	p	1.0	4	0.15069560054549394
25	1_52316	YL.C15..BH	2009-12-18 16:31:21.000002	1e-06	p	1.0	4	0.15069587787106772
26	1_52316	Z1.EUAP..BH	2009-12-18 16:31:24.999997	1e-06	p	1.0	4	0.14786454352935088
27	1_52316	Z1.EUAP..BH	2009-12-18 16:32:31.027672	1e-06	s	1.0	4	0.12441197005565548
28	1_52316	YL.F01..BH	2009-12-18 16:31:32.000004	1e-06	p	1.0	4	0.15069533332096116
29	1_52316	YL.F02W..HH	2009-12-18 16:31:28.000001	1e-06	p	1.0	4	0.1478648300926518
30	1_52316	YL.F02W..HH	2009-12-18 16:32:37.640007	1e-06	s	1.0	4	0.15247134408394322
31	1_52316	Z1.FOA..BH	2009-12-18 16:31:31.999998	1e-06	p	1.0	4	0.15246605751155898
32	1_52316	Z1.FOA..BH	2009-12-18 16:32:44.351776	1e-06	s	1.0	4	0.15161408368848558
33	1_52316	Z1.FONI..BH	2009-12-18 16:31:28.000001	1e-06	p	1.0	4	0.1478648300926518
34	1_52316	Z1.FONI..BH	2009-12-18 16:32:38.529991	1e-06	s	1.0	4	0.1524576016724338
35	1_52316	Z1.NMKA..BH	2009-12-18 16:31:28.000000	1e-06	p	1.0	4	0.1506955616901842
36	1_52316	Z1.NMKA..BH	2009-12-18 16:32:36.950005	1e-06	s	1.0	4	0.15112648670056342
37	1_52316	Z1.PNGI..BH	2009-12-18 16:31:32.000003	1e-06	p	1.0	4	0.15069534216271482
38	1_52316	Z1.PNGI..BH	2009-12-18 16:32:44.120002	1e-06	s	1.0	4	0.14940916322929737
39	1_52185	YL.A01..BH	2009-12-26 00:59:15.000003	1e-06	p	1.0	7	0.1369618561664809
40	1_52185	YL.A01..BH	2009-12-26 01:00:12.810005	1e-06	s	1.0	7	0.1138289896352095
41	1_52185	Z1.EUAP..BH	2009-12-26 00:59:15.999998	1e-06	p	1.0	7	0.13696186835246726
42	1_52185	Z1.EUAP..BH	2009-12-26 01:00:13.059997	1e-06	s	1.0	7	0.1266982477609917
43	1_52185	Z1.FOA..BH	2009-12-26 00:59:13.999999	1e-06	p	1.0	7	0.13696181955558445
44	1_52185	Z1.FOA..BH	2009-12-26 01:00:08.328064	1e-06	s	1.0	7	0.13112403066522202
45	1_52185	Z1.FONI..BH	2009-12-26 00:59:12.999998	1e-06	p	1.0	7	0.13696179129809855
46	1_52185	Z1.FONI..BH	2009-12-26 01:00:07.860000	1e-06	s	1.0	7	0.13640753615130588
47	1_52185	Z1.NMKA..BH	2009-12-26 00:59:12.000003	1e-06	p	1.0	7	0.13696177910930912
48	1_52185	Z1.NMKA..BH	2009-12-26 01:00:07.279999	1e-06	s	1.0	7	0.13698009019329996
49	1_52185	Z1.PNGI..BH	2009-12-26 00:59:14.000000	1e-06	p	1.0	7	0.13696182212652408
50	1_52185	Z1.PNGI..BH	2009-12-26 01:00:09.739998	1e-06	s	1.0	7	0.13393684388303087
51	1_52185	Z1.TNGA..BH	2009-12-26 00:59:12.999998	1e-06	p	1.0	7	0.13696179129809855
52	1_52185	Z1.TNGA..BH	2009-12-26 01:00:08.229996	1e-06	s	1.0	7	0.13709349568228552
53	1_52185	YL.F01..BH	2009-12-26 00:59:19.000001	1e-06	p	1.0	7	0.13059135097136995
54	1_52185	YL.F01..BH	2009-12-26 01:00:17.599999	1e-06	s	1.0	7	0.1352662236434697
55	11_52205	YL.B12..BH	2009-12-26 05:16:24.999999	1e-06	p	1.0	6	0.12783241977549614
56	11_52205	YL.C01W..HH	2009-12-26 05:16:19.000000	1e-06	p	1.0	6	0.11019134690701045
57	11_52205	YL.C15..BH	2009-12-26 05:16:23.000000	1e-06	p	1.0	6	0.12783229795964463
58	11_52205	Z1.EUAP..BH	2009-12-26 05:16:23.000001	1e-06	p	1.0	6	0.12783230310584268
59	11_52205	Z1.EUAP..BH	2009-12-26 05:16:43.610001	1e-06	s	1.0	6	0.0828700072996091
60	11_52205	YL.F01..BH	2009-12-26 05:16:27.000000	1e-06	p	1.0	6	0.11018936896756273
61	11_52205	YL.F01..BH	2009-12-26 05:16:45.946638	1e-06	s	1.0	6	0.038755808988242026
62	11_52205	Z1.FOA..BH	2009-12-26 05:16:19.999999	1e-06	p	1.0	6	0.06668399242055326
63	11_52205	Z1.FOA..BH	2009-12-26 05:16:47.911068	1e-06	s	1.0	6	0.12657339245178031
64	11_52205	Z1.FONI..BH	2009-12-26 05:16:21.000000	1e-06	p	1.0	6	0.12580080198570687
65	11_52205	Z1.FONI..BH	2009-12-26 05:16:40.278654	1e-06	s	1.0	6	0.12876153633060922
66	11_52205	Z1.NMKA..BH	2009-12-26 05:16:20.000001	1e-06	p	1.0	6	0.12580090297076796
67	11_52205	Z1.NMKA..BH	2009-12-26 05:16:40.606720	1e-06	s	1.0	6	0.11662801418648736
68	11_52205	Z1.PNGI..BH	2009-12-26 05:16:24.000000	1e-06	p	1.0	6	0.12577507377347932
69	11_52205	Z1.PNGI..BH	2009-12-26 05:16:45.980002	1e-06	s	1.0	6	0.12598214481244613
70	11_52205	Z1.TNGA..BH	2009-12-26 05:16:20.000000	1e-06	p	1.0	6	0.12867412418416244
71	11_52205	Z1.TNGA..BH	2009-12-26 05:16:40.300000	1e-06	s	1.0	6	0.12878487799980512
72	11_52205	Z1.VAVP..BH	2009-12-26 05:16:33.999999	1e-06	p	1.0	6	0.12783324214166908
73	11_52205	Z1.VAVP..BH	2009-12-26 05:17:03.737156	1e-06	s	1.0	6	0.1104577032493049
74	11_52346	YL.A01..BH	2010-01-16 16:16:50.999999	1e-06	p	1.0	5	0.12668738020601716
75	11_52346	YL.A03..BH	2010-01-16 16:16:49.999999	1e-06	p	1.0	5	0.12694114381827643
76	11_52346	Z1.EUAP..BH	2010-01-16 16:16:50.000000	1e-06	p	1.0	5	0.12694114397535672
77	11_52346	Z1.EUAP..BH	2010-01-16 16:17:19.664036	1e-06	s	1.0	5	0.12605077933351222
78	11_52346	Z1.PNGI..BH	2010-01-16 16:16:45.000001	1e-06	p	1.0	5	0.11984797096657665
79	11_52346	Z1.PNGI..BH	2010-01-16 16:17:10.489998	1e-06	s	1.0	5	0.12523739771375
80	11_52346	Z1.TNGA..BH	2010-01-16 16:16:46.000000	1e-06	p	1.0	5	0.12694113190881065
81	11_52346	Z1.TNGA..BH	2010-01-16 16:17:15.031620	1e-06	s	1.0	5	0.1269386321135408
82	11_52346	Z1.VAVP..BH	2010-01-16 16:16:50.000002	1e-06	p	1.0	5	0.12694114427924577
83	11_52346	Z1.VAVP..BH	2010-01-16 16:17:20.296441	1e-06	s	1.0	5	0.12319670278874131
84	11_52346	Z1.FOA..BH	2010-01-16 16:16:42.000000	1e-06	p	1.0	5	0.10008612899125215
85	11_52346	Z1.FOA..BH	2010-01-16 16:17:09.319741	1e-06	s	1.0	5	0.1234318173751456
86	11_52346	Z1.NMKA..BH	2010-01-16 16:16:44.000000	1e-06	p	1.0	5	0.11984824417512746
87	11_52346	Z1.NMKA..BH	2010-01-16 16:17:08.419998	1e-06	s	1.0	5	0.12569665699827873
